microRNA	mRNA
can-miR156e-5p	Chili_GLEAN_139419
can-miR156e-5p	Chili_GLEAN_106508
can-miR156e-5p	Chili_GLEAN_105513
can-miR156e-5p	Chili_GLEAN_120578
can-miR156e-5p	Chili_GLEAN_131727
can-miR156e-5p	Chili_GLEAN_140676
can-miR156e-5p	Chili_GLEAN_130704
can-miR156e-5p	Chili_GLEAN_122538
can-miR156e-5p	Chili_GLEAN_114481
can-miR156e-5p	Chili_GLEAN_116623
can-miR156e-5p	Chili_GLEAN_127459
can-miR156e-5p	Chili_GLEAN_127458
can-miR156e-5p	Chili_GLEAN_115411
can-miR156e-5p	Chili_GLEAN_124167
can-miR156e-5p	Chili_GLEAN_129255
can-miR156e-5p	Chili_GLEAN_124166
can-miR156e-5p	Chili_GLEAN_111624
can-miR156e-5p	Chili_GLEAN_105383
can-miR156e-5p	Chili_GLEAN_136601
can-miR156e-5p	Chili_GLEAN_100791
can-miR156e-5p	Chili_GLEAN_100789
can-miR156f-3p	Chili_GLEAN_122421
can-miR156f-3p	Chili_GLEAN_138472
can-miR156f-3p	Chili_GLEAN_129985
can-miR156f-3p	Chili_GLEAN_105327
can-miR156f-3p	Chili_GLEAN_130273
can-miR156f-3p	Chili_GLEAN_130274
can-miR156f-3p	Chili_GLEAN_107064
can-miR156f-3p	Chili_GLEAN_114829
can-miR156f-3p	Chili_GLEAN_107669
can-miR156f-3p	Chili_GLEAN_127288
can-miR156f-3p	Chili_GLEAN_108324
can-miR156f-3p	Chili_GLEAN_134672
can-miR156f-3p	Chili_GLEAN_129217
can-miR156f-3p	Chili_GLEAN_139357
can-miR156f-3p	Chili_GLEAN_139358
can-miR156f-3p	Chili_GLEAN_129785
can-miR156f-3p	Chili_GLEAN_129784
can-miR156f-3p	Chili_GLEAN_140140
can-miR156f-3p	Chili_GLEAN_140142
can-miR156f-3p	Chili_GLEAN_113304
can-miR156f-3p	Chili_GLEAN_136037
can-miR156f-3p	Chili_GLEAN_126416
can-miR156f-3p	Chili_GLEAN_139871
can-miR156f-3p	Chili_GLEAN_116032
can-miR156f-3p	Chili_GLEAN_122198
can-miR156f-5p	Chili_GLEAN_115796
can-miR156f-5p	Chili_GLEAN_120858
can-miR156f-5p	Chili_GLEAN_104383
can-miR156f-5p	Chili_GLEAN_101517
can-miR156f-5p	Chili_GLEAN_106537
can-miR156f-5p	Chili_GLEAN_123408
can-miR156f-5p	Chili_GLEAN_139419
can-miR156f-5p	Chili_GLEAN_106508
can-miR156f-5p	Chili_GLEAN_105513
can-miR156f-5p	Chili_GLEAN_120578
can-miR156f-5p	Chili_GLEAN_131727
can-miR156f-5p	Chili_GLEAN_140676
can-miR156f-5p	Chili_GLEAN_130704
can-miR156f-5p	Chili_GLEAN_122538
can-miR156f-5p	Chili_GLEAN_114481
can-miR156f-5p	Chili_GLEAN_116623
can-miR156f-5p	Chili_GLEAN_127459
can-miR156f-5p	Chili_GLEAN_127458
can-miR156f-5p	Chili_GLEAN_115411
can-miR156f-5p	Chili_GLEAN_124167
can-miR156f-5p	Chili_GLEAN_129255
can-miR156f-5p	Chili_GLEAN_124166
can-miR156f-5p	Chili_GLEAN_111624
can-miR156f-5p	Chili_GLEAN_105383
can-miR156f-5p	Chili_GLEAN_136601
can-miR156f-5p	Chili_GLEAN_100791
can-miR156f-5p	Chili_GLEAN_100789
can-miR156g	Chili_GLEAN_115796
can-miR156g	Chili_GLEAN_120858
can-miR156g	Chili_GLEAN_104383
can-miR156g	Chili_GLEAN_106537
can-miR156g	Chili_GLEAN_139419
can-miR156g	Chili_GLEAN_101517
can-miR156g	Chili_GLEAN_139589
can-miR156g	Chili_GLEAN_123408
can-miR156g	Chili_GLEAN_122538
can-miR156g	Chili_GLEAN_129983
can-miR156g	Chili_GLEAN_113979
can-miR156g	Chili_GLEAN_138202
can-miR156g	Chili_GLEAN_132246
can-miR156g	Chili_GLEAN_130761
can-miR156g	Chili_GLEAN_130882
can-miR156g	Chili_GLEAN_126619
can-miR156g	Chili_GLEAN_113447
can-miR156g	Chili_GLEAN_133807
can-miR156g	Chili_GLEAN_126033
can-miR156g	Chili_GLEAN_129924
can-miR156g	Chili_GLEAN_133133
can-miR156g	Chili_GLEAN_124854
can-miR156g	Chili_GLEAN_124855
can-miR156g	Chili_GLEAN_118012
can-miR156g	Chili_GLEAN_118011
can-miR156g	Chili_GLEAN_106570
can-miR156h-3p	Chili_GLEAN_131786
can-miR156h-3p	Chili_GLEAN_138397
can-miR156h-3p	Chili_GLEAN_101204
can-miR156h-3p	Chili_GLEAN_107904
can-miR156h-3p	Chili_GLEAN_138472
can-miR156h-3p	Chili_GLEAN_132178
can-miR156h-3p	Chili_GLEAN_126543
can-miR156h-3p	Chili_GLEAN_120535
can-miR156h-3p	Chili_GLEAN_102630
can-miR156h-3p	Chili_GLEAN_141299
can-miR156h-3p	Chili_GLEAN_102631
can-miR156h-3p	Chili_GLEAN_104727
can-miR156h-3p	Chili_GLEAN_110494
can-miR156h-3p	Chili_GLEAN_120279
can-miR156h-3p	Chili_GLEAN_127288
can-miR156h-3p	Chili_GLEAN_118273
can-miR156h-3p	Chili_GLEAN_108319
can-miR156h-3p	Chili_GLEAN_118272
can-miR156h-3p	Chili_GLEAN_105535
can-miR156h-3p	Chili_GLEAN_110909
can-miR156h-3p	Chili_GLEAN_136631
can-miR156h-5p	Chili_GLEAN_115796
can-miR156h-5p	Chili_GLEAN_120858
can-miR156h-5p	Chili_GLEAN_110128
can-miR156h-5p	Chili_GLEAN_100791
can-miR156h-5p	Chili_GLEAN_100789
can-miR156h-5p	Chili_GLEAN_106537
can-miR156h-5p	Chili_GLEAN_123408
can-miR156h-5p	Chili_GLEAN_139419
can-miR156h-5p	Chili_GLEAN_122538
can-miR156h-5p	Chili_GLEAN_101517
can-miR156h-5p	Chili_GLEAN_106508
can-miR156h-5p	Chili_GLEAN_139589
can-miR156h-5p	Chili_GLEAN_138616
can-miR156h-5p	Chili_GLEAN_117989
can-miR156h-5p	Chili_GLEAN_105513
can-miR156h-5p	Chili_GLEAN_105383
can-miR156h-5p	Chili_GLEAN_131727
can-miR156h-5p	Chili_GLEAN_111432
can-miR156h-5p	Chili_GLEAN_124854
can-miR156h-5p	Chili_GLEAN_124855
can-miR156h-5p	Chili_GLEAN_140676
can-miR156h-5p	Chili_GLEAN_133841
can-miR156h-5p	Chili_GLEAN_125419
can-miR156h-5p	Chili_GLEAN_114481
can-miR156h-5p	Chili_GLEAN_111624
can-miR156h-5p	Chili_GLEAN_127459
can-miR156i	Chili_GLEAN_106650
can-miR156i	Chili_GLEAN_101626
can-miR156i	Chili_GLEAN_118951
can-miR156i	Chili_GLEAN_106087
can-miR156i	Chili_GLEAN_107199
can-miR156i	Chili_GLEAN_114701
can-miR156i	Chili_GLEAN_111819
can-miR156i	Chili_GLEAN_119249
can-miR156i	Chili_GLEAN_102526
can-miR156i	Chili_GLEAN_138395
can-miR156i	Chili_GLEAN_100201
can-miR156i	Chili_GLEAN_112596
can-miR156i	Chili_GLEAN_135155
can-miR156i	Chili_GLEAN_132269
can-miR156i	Chili_GLEAN_128582
can-miR156i	Chili_GLEAN_129509
can-miR156i	Chili_GLEAN_111569
can-miR156i	Chili_GLEAN_122794
can-miR156i	Chili_GLEAN_122793
can-miR156i	Chili_GLEAN_136320
